團體名稱,出道年份,所屬公司,成員人數,目前狀態
徐太志和孩子們,1992年,未知,未知,已解散
Deux,1993年,未知,未知,韓語：듀스 (음악 그룹)
쿨 (음악 그룹),1994年,未知,未知,韓語：쿨 (음악 그룹)
DJ DOC,1994年,未知,未知,未知
Roo'ra,1994年,未知,未知,未知
Two Two,1994年,未知,未知,未知
R.ef,1995年,未知,未知,韓語：R.ef
Turbo,1995年,未知,未知,未知
Goofy,1996年,未知,未知,韓語：구피 (음악 그룹)
H.O.T.,1996年,未知,未知,未知
Clon,1996年,未知,未知,未知
Uptown,1996年,未知,未知,韓語：UPT (음악 그룹)
Baby V.O.X,1997年,未知,未知,已解散
Diva,1997年,未知,未知,已解散
Eve (團體),1997年,未知,未知,韓語：이브 (밴드)
Jinusean,1997年,未知,未知,未知
太四子,1997年,未知,未知,未知
NRG,1997年,未知,未知,未知
水晶男孩,1997年,未知,未知,未知
S.E.S.,1997年,未知,未知,已解散
1TYM (已解散),1998年,未知,未知,未知
FIN.K.L,1998年,未知,未知,未知
高耀太,1998年,未知,未知,未知
샵 (음악 그룹),1998年,未知,未知,韓語：샵 (음악 그룹)
神話,1998年,未知,未知,未知
애즈 원,1999年,未知,未知,韓語：애즈 원
Cleo,1999年,未知,未知,未知
Click-B,1999年,未知,未知,韓語：클릭비
Fly to the Sky,1999年,未知,未知,未知
g.o.d,1999年,未知,未知,未知
T.T.Ma,1999年,未知,未知,韓語：티티마
UN (組合),2000年,未知,未知,韓語：UN (음악 그룹)
Chakra,2000年,未知,未知,已解散
Nell,2001年,未知,未知,未知
Jewelry,2001年,未知,未知,已解散
K-POP (음악 그룹),2001年,未知,未知,韓語：K-POP (음악 그룹)
Kiss,2001年,未知,未知,已解散
M.I.L.K,2001年,未知,未知,已解散
JTL,2001年,未知,未知,已解散
Sugar,2002年,未知,未知,已解散
Noel,2002年,未知,未知,韓語：노을 (음악 그룹)
SWi.T,2002年,未知,未知,韓語：스위티 (대한민국의 음악 그룹)
Leessang,2002年,未知,未知,未知
Vibe,2002年,未知,未知,未知
Shinvi,2002年,未知,未知,已解散
Isak N Jiyeon,2002年,未知,未知,韓語：이삭N지연
Black Beat,2002年,未知,未知,已解散
Epik High,2003年,未知,未知,未知
SG Wannabe,2004年,未知,未知,未知
東方神起,2004年,未知,未知,未知
Dynamic Duo,2004年,未知,未知,未知
TraxX,2004年,未知,未知,未知
天上智喜 The Grace,2005年,未知,未知,未知
SS501,2005年,未知,未知,未知
Super Junior,2005年,未知,未知,未知
LPG,2005年,未知,未知,已解散
SeeYa,2006年,未知,未知,已解散
Brown Eyed Girls,2006年,未知,未知,未知
2NB,2006年,未知,未知,已解散
Untouchable,2006年,未知,未知,已解散
Girl Friends,2006年,未知,未知,已解散
BIGBANG,2006年,未知,未知,未知
Super Junior-K.R.Y.,2006年,未知,未知,未知
七炫和建豪,2006年,未知,未知,韓語：강타 & 바네스
Baby V.O.X.Re.V,2007年,未知,未知,韓語：베이비복스 리브
Wonder Girls,2007年,未知,未知,已解散
Super Junior-T,2007年,未知,未知,未知
Kara,2007年,未知,未知,未知
FTIsland,2007年,未知,未知,未知
少女時代,2007年,未知,未知,未知
8Eight,2007年,未知,未知,已解散
Sunny Hill,2007年,未知,未知,已解散
T-Max,2007年,未知,未知,已解散
超新星,2007年,未知,未知,未知
Davichi,2008年,未知,未知,未知
Mighty Mouth,2008年,未知,未知,已解散
Super Junior-M,2008年,未知,未知,未知
A'st1,2008年,未知,未知,韓語：에이스타일
SHINee,2008年,未知,未知,未知
Super Junior-Happy,2008年,未知,未知,未知
2AM,2008年,未知,未知,單飛不解散
DNT,2008年,未知,未知,已解散
張基河與臉孔們,2008年,未知,未知,英語：Kiha & The Faces
SM☆SH,2008年,未知,未知,韓語：스매쉬 (대한민국의 음악 그룹)
U-Kiss,2008年,未知,未知,未知
2PM,2008年,未知,未知,未知
Triple S,2008年,未知,未知,未知
After School,2009年,未知,未知,已解散
2NE1,2009年,未知,未知,未知
4minute,2009年,未知,未知,已解散
Supreme Team,2009年,未知,未知,已解散
T-ara,2009年,未知,未知,未知
f(x),2009年,未知,未知,單飛不解散
