標題,內文摘要,圖片網址,文章網址,來源摘要,時間
張孝全化身「最強老爸」為妻女復仇 超激烈以暴制暴血色蔓延,犯罪動作電影《器子》由賣座片《可不可以，你也剛好喜歡我》監製梁宏志及導演簡學彬再度攜手合作。電影公司20日釋出血色蔓延的前導海報，預告復仇犯罪的激烈強度；並公開電影全卡司，堪稱2025陣容最豪華的台灣電影。,https://s.yimg.com/uu/api/res/1.2/.UuATihIsSmgY.yt76Zc2A--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://s.yimg.com/os/creatr-uploaded-images/2025-01/82d0e680-d7d1-11ef-87bf-7d91ccd5dde5,https://tw.news.yahoo.com//%E5%BC%B5%E5%AD%9D%E5%85%A8%E5%8C%96%E8%BA%AB%E3%80%8C%E6%9C%80%E5%BC%B7%E8%80%81%E7%88%B8%E3%80%8D%E7%82%BA%E5%A6%BB%E5%A5%B3%E5%BE%A9%E4%BB%87-%E8%B6%85%E6%BF%80%E7%83%88%E4%BB%A5%E6%9A%B4%E5%88%B6%E6%9A%B4%E8%A1%80%E8%89%B2%E8%94%93%E5%BB%B6-083110283.html,Yahoo奇摩娛樂 特派記者,12 分鐘前
高流2025真愛秀藍寶石大歌廳演唱會　孝親演唱會首選！,【記者 王雯玲／高雄 報導】2025真愛秀．藍寶石大歌廳演唱會日前公布將於今（2025）年5月10、11日母親,https://s.yimg.com/uu/api/res/1.2/WI3cFVt5FRePkI0drw6yzQ--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/zh-tw/newstaiwandigi_com_938/549c9fce1e7387319290379e3c0112f1,https://tw.news.yahoo.com//%E9%AB%98%E6%B5%812025%E7%9C%9F%E6%84%9B%E7%A7%80%E8%97%8D%E5%AF%B6%E7%9F%B3%E5%A4%A7%E6%AD%8C%E5%BB%B3%E6%BC%94%E5%94%B1%E6%9C%83-%E5%AD%9D%E8%A6%AA%E6%BC%94%E5%94%B1%E6%9C%83%E9%A6%96%E9%81%B8-082606440.html,台灣好報,17 分鐘前
【錯誤】網傳洛杉磯的黑人洗劫房屋的影片？誤導描述！片段為災民撤離畫面,網傳「洛杉磯多個地區遭遇火災民眾紛紛避難，很多房子沒有人! 這時候洛杉磯的黑哥哥們出來了」的訊息和影片。經查證，傳言影片其實是當地一棟房屋的屋主 Teandra 和她的小孩及朋友在整理家當，準備要撤離到安全區域，傳言說法完全錯誤，並非事實；不過，洛杉磯的確有發生趁火打劫的事件，有人甚至假扮成消防員入室行竊，目前共有 29 人因竊盜、搶劫被捕。,https://s.yimg.com/uu/api/res/1.2/zwzCUP_8OibNtFJTMuKgsg--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/mygopen_110/e8a7c444eeca7fedce322f2fc7194ffd,https://tw.news.yahoo.com//%E9%8C%AF%E8%AA%A4-%E7%B6%B2%E5%82%B3%E6%B4%9B%E6%9D%89%E7%A3%AF%E7%9A%84%E9%BB%91%E4%BA%BA%E6%B4%97%E5%8A%AB%E6%88%BF%E5%B1%8B%E7%9A%84%E5%BD%B1%E7%89%87-%E8%AA%A4%E5%B0%8E%E6%8F%8F%E8%BF%B0-%E7%89%87%E6%AE%B5%E7%82%BA%E7%81%BD%E6%B0%91%E6%92%A4%E9%9B%A2%E7%95%AB%E9%9D%A2-082600618.html,MyGoPen,17 分鐘前
話中有話？愛莉莎莎喊「泰國比台灣安全」：不會莫名被關,娛樂中心／周希雯報導 百萬網紅「愛莉莎莎」憑藉直率個性圈粉無數，去年揮別與羽球教練的戀情後，經常飛各國體驗生活，因此愛上泰國的氛圍，不僅考取到房仲執照、取得工作簽證，前陣子還砸下400萬在曼谷市中心置產，並在近日正式入住，格外引人關注。如今愛莉莎莎都在台灣、泰國兩國往返，也大多時間留在泰國生活，就有網友好奇當地的治安，沒想到愛莉莎莎竟直言，「某方面比台灣還安全」，甚至意有所指表示「至少不會莫名就被告、被關、被側翼攻擊。」,https://s.yimg.com/uu/api/res/1.2/KgeJGA8etAzFpbDpXFPdEw--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/ko/ftvn.com.tw/cfd6330040b9e038e65cd56fd985e717,https://tw.news.yahoo.com//%E8%A9%B1%E4%B8%AD%E6%9C%89%E8%A9%B1-%E6%84%9B%E8%8E%89%E8%8E%8E%E8%8E%8E%E5%96%8A-%E6%B3%B0%E5%9C%8B%E6%AF%94%E5%8F%B0%E7%81%A3%E5%AE%89%E5%85%A8-%E4%B8%8D%E6%9C%83%E8%8E%AB%E5%90%8D%E8%A2%AB%E9%97%9C-082525524.html,民視,18 分鐘前
鈕承澤最快22日出獄！性侵被關逾3年假釋　友人公開「下一步計畫」,知名導演鈕承澤（豆導）性侵劇組工作人員，2021年被判處4年有期徒刑，並於花蓮監獄服刑。如今3年多過去，鈕承澤第4度申請假釋終於成功，預計明（22）日出獄回歸社會，友人也公開他的下一步計畫。,https://s.yimg.com/uu/api/res/1.2/eBk3MxS1LtIVclVbz_jdgA--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/vi/setn.com.tw/e25eb080b7d0026768f8ac8ec8768366,https://tw.news.yahoo.com//%E9%88%95%E6%89%BF%E6%BE%A4%E6%9C%80%E5%BF%AB22%E6%97%A5%E5%87%BA%E7%8D%84-%E6%80%A7%E4%BE%B5%E8%A2%AB%E9%97%9C%E9%80%BE3%E5%B9%B4%E5%81%87%E9%87%8B-%E5%8F%8B%E4%BA%BA%E5%85%AC%E9%96%8B-%E4%B8%8B-%E6%AD%A5%E8%A8%88%E7%95%AB-082400219.html,三立新聞網 setn.com,19 分鐘前
杏仁咪嚕《杏仁宮燈節聯歡晚會》2月12日打造線上元宵燈節，售票資訊公開,國際級VTuber杏仁ミル出道滿6周年，一直以來總是喜歡挑戰新事物的她，在2025年開春再次與HTC VIVE ORIGINALS BEATDAY聯手推出 6自由度(6 dof) 線上虛擬元宵燈節《杏仁宮燈節聯歡晚會》。燈節晚會共有四大內容活動，票券1/21(二)起於BEATDAY正式開賣，2/12(三)平台搶先推出蛇年主燈點燈秀；購票觀眾將可以在虛擬場景中點燈留下自己的心願與大街上玩互動遊戲，迎接2/22(六)、2/23(日)正式登場的BIG DREAMER演唱會，在虛擬世界中體驗最獨特的元宵節慶典！,https://s.yimg.com/uu/api/res/1.2/169jQJzeNPRfNEr8E9PHxA--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://s.yimg.com/os/creatr-uploaded-images/2025-01/95b10000-d7cc-11ef-bb8f-4bd16ffa8b19,https://tw.news.yahoo.com//%E6%9D%8F%E4%BB%81%E5%92%AA%E5%9A%95%E3%80%8A%E6%9D%8F%E4%BB%81%E5%AE%AE%E7%87%88%E7%AF%80%E8%81%AF%E6%AD%A1%E6%99%9A%E6%9C%83%E3%80%8B2%E6%9C%8812%E6%97%A5%E6%89%93%E9%80%A0%E7%B7%9A%E4%B8%8A%E5%85%83%E5%AE%B5%E7%87%88%E7%AF%80%EF%BC%8C%E5%94%AE%E7%A5%A8%E8%B3%87%E8%A8%8A%E5%85%AC%E9%96%8B-081750459.html,Yahoo奇摩遊戲編輯部,25 分鐘前
和孫德榮感情變質！Gino吐露簽約又解約原因,Gino透露和經紀人孫德榮解約的原因：「兩年前他想復出做喬傑立2.0，我回來簽給他後，我們的感情因為工作開始變質。」當時孫總說了一句：「你不要講那麼多，反正你現在很難搞！」,https://s.yimg.com/uu/api/res/1.2/IXwgPWtUGp4151USF15JrA--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://s.yimg.com/os/creatr-uploaded-images/2025-01/f9114c70-d7ce-11ef-bfb7-57fc5de289f0,https://tw.news.yahoo.com//%E5%92%8C%E5%AD%AB%E5%BE%B7%E6%A6%AE%E6%84%9F%E6%83%85%E8%AE%8A%E8%B3%AA%EF%BC%81gino%E5%90%90%E9%9C%B2%E7%B0%BD%E7%B4%84%E5%8F%88%E8%A7%A3%E7%B4%84%E5%8E%9F%E5%9B%A0-081536715.html,Yahoo奇摩娛樂新聞,27 分鐘前
原民女星頂2度低溫「輕薄衣服熱舞」　靠「這一招」禦寒,阿布絲 Abus推出全新專輯《QUEENDOM》，全新主打〈MATA 目光〉是阿布絲與「亞洲新世代嘻哈女聲」 Majin合作，兩人用多元語言相互創作完成，寫下了女孩透過眼神流露千言萬語，這次MV前往馬祖取景，拍攝了兩個女孩相識、一起玩樂的劇情，而當地有如南法、南義的景色也讓眾人驚呼不已。,https://s.yimg.com/uu/api/res/1.2/kgaEBkrPvUkhkv_a5z_teQ--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/ko/news_tvbs_com_tw_938/48c5e7885dac08a8be1bd3bd1ff0aa1e,https://tw.news.yahoo.com//%E5%8E%9F%E6%B0%91%E5%A5%B3%E6%98%9F%E9%A0%822%E5%BA%A6%E4%BD%8E%E6%BA%AB-%E8%BC%95%E8%96%84%E8%A1%A3%E6%9C%8D%E7%86%B1%E8%88%9E-%E9%9D%A0-%E9%80%99-%E6%8B%9B-081534255.html,TVBS新聞網,28 分鐘前
五月天等3天團夢幻聯動花蓮同台　夜市王美食直接搬到後台,家家和宇宙人受邀參與「Just LoveIt！一路向東」演唱會的共演大使，週末分別登上玉里站、花蓮站舞台。最後在花蓮站，與五月天、告五人以及特邀嘉賓周思齊一同在花蓮站演出。家家興奮說：「五月天、宇宙人、告五人3大天團一起根本是夢幻聯動！」活動的高潮是眾人合唱〈故鄉普悠瑪〉，這首歌對家家別具意義，因為是由她的舅舅陳建年創作、姊姊紀曉君演唱的作品，因為普悠瑪正是她部落的名稱。,https://s.yimg.com/uu/api/res/1.2/mVFbnA0NTDMa01yU4Qds3w--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/zh-tw/mirrormedia.mg/b9922b0641ffe80ad47d791ea7d406d9,https://tw.news.yahoo.com//%E4%BA%94%E6%9C%88%E5%A4%A9%E7%AD%893%E5%A4%A9%E5%9C%98%E5%A4%A2%E5%B9%BB%E8%81%AF%E5%8B%95%E8%8A%B1%E8%93%AE%E5%90%8C%E5%8F%B0-%E5%A4%9C%E5%B8%82%E7%8E%8B%E7%BE%8E%E9%A3%9F%E7%9B%B4%E6%8E%A5%E6%90%AC%E5%88%B0%E5%BE%8C%E5%8F%B0-081500776.html,鏡週刊Mirror Media,28 分鐘前
歡慶愛妻生日！包偉銘豪送「六位數大禮」寵妻　激吻照流出閃瞎,包偉銘20日幫愛妻劉依純歡慶生日，身為寵妻魔人的他，自爆早在去年12月就提早幫老婆暖壽，一路算下來更「不計其數」；不僅飛到泰國曼谷特別預訂「亞洲第一家」LV的餐廳，還送上精品H牌的薄荷綠25吋包，透露花了6位數，好不容易才買到，可說是「誠意十足」。,https://s.yimg.com/uu/api/res/1.2/BFjcI.T9aHkGGu0UJgNdrw--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/zh-tw/setn.com.tw/b45d61b5841f7e6d0881ed52ba5fb1a2,https://tw.news.yahoo.com//%E6%AD%A1%E6%85%B6%E6%84%9B%E5%A6%BB%E7%94%9F%E6%97%A5-%E5%8C%85%E5%81%89%E9%8A%98%E8%B1%AA%E9%80%81-%E5%85%AD%E4%BD%8D%E6%95%B8%E5%A4%A7%E7%A6%AE-%E5%AF%B5%E5%A6%BB-%E6%BF%80%E5%90%BB%E7%85%A7%E6%B5%81%E5%87%BA%E9%96%83%E7%9E%8E-081500779.html,三立新聞網 setn.com,28 分鐘前
