標題,內文摘要,圖片網址,文章網址,來源摘要,時間
薔薔出手切割！痛批胞妹3罪狀　赴中國發展還恐嚇家人,藝人薔薔很想和妹妹劃清界線：「她去大陸生活，我爸一直很擔心她，就匯了一筆錢給她，結果她竟然跑去酒店花天酒地，我爸就希望我可以幫助妹妹，但我不想，因為她曾經在我背後捅刀。」,https://s.yimg.com/uu/api/res/1.2/u9_4.MFDf49DOx.QxA5FVA--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/ko/setn.com.tw/d4954171278c64a99060dd81351bad52,https://tw.news.yahoo.com//%E8%96%94%E8%96%94%E5%87%BA%E6%89%8B%E5%88%87%E5%89%B2-%E7%97%9B%E6%89%B9%E8%83%9E%E5%A6%B93%E7%BD%AA%E7%8B%80-%E8%B5%B4%E4%B8%AD%E5%9C%8B%E7%99%BC%E5%B1%95%E9%82%84%E6%81%90%E5%9A%87%E5%AE%B6%E4%BA%BA-030000639.html,三立新聞網 setn.com,16 分鐘前
陳喬恩怒發聲「看到了一場謀殺案」 怒批訓狗師為流量殺狗,陳喬恩怒發聲「看到了一場謀殺案」 怒批訓狗師為流量殺狗,https://s.yimg.com/uu/api/res/1.2/WhJxK.f3h6amlF20K3aNIA--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/ko/ebc.net.tw/b02ed0c9b6fa334edfd3f5a82a5d6a8a,https://tw.news.yahoo.com//%E9%99%B3%E5%96%AC%E6%81%A9%E6%80%92%E7%99%BC%E8%81%B2-%E7%9C%8B%E5%88%B0%E4%BA%86-%E5%A0%B4%E8%AC%80%E6%AE%BA%E6%A1%88-%E6%80%92%E6%89%B9%E8%A8%93%E7%8B%97%E5%B8%AB%E7%82%BA%E6%B5%81%E9%87%8F%E6%AE%BA%E7%8B%97-025100276.html,EBC東森新聞,25 分鐘前
預算遭砍！公視不忍發聲「增加到23億真正用途曝光」1舉動網讚翻,國民黨立委陳玉珍提案刪減文化部補助公視的23億預算的消息曝光後，不僅引發民眾反彈，不少影視圈相關人士也相繼站出來表達不滿。而公視也不忍公開預算從9億增加到23億的原因，引來網友讚翻。林汝珊,https://s.yimg.com/uu/api/res/1.2/UrWEdlFpDLKuH7QXs31oXA--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/ko/setn.com.tw/943656e9f2b57fe1955b6ee86598724e,https://tw.news.yahoo.com//%E9%A0%90%E7%AE%97%E9%81%AD%E7%A0%8D-%E5%85%AC%E8%A6%96%E4%B8%8D%E5%BF%8D%E7%99%BC%E8%81%B2-%E5%A2%9E%E5%8A%A0%E5%88%B023%E5%84%84%E7%9C%9F%E6%AD%A3%E7%94%A8%E9%80%94%E6%9B%9D%E5%85%89-1%E8%88%89%E5%8B%95%E7%B6%B2%E8%AE%9A%E7%BF%BB-025100730.html,三立新聞網 setn.com,25 分鐘前
20歲空手道正妹「臉腫成2倍大」！她親曝原因　粉絲笑翻：怎變洪金寶,日本武術正妹安井南年僅20歲，是空手道黑帶和劍道高手，且甜美外型擄獲不少粉絲。近日她PO出「臉部異常腫脹」的照片，表示一口氣拔了4顆智齒，自嘲「一覺醒來就變成這樣，彷彿被踢了兩下迴旋踢」。,https://s.yimg.com/uu/api/res/1.2/T.7b9IvdCwOEbhvdon22xA--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/zh-tw/setn.com.tw/cee287a691fab31aab4b007af43569a4,https://tw.news.yahoo.com//20%E6%AD%B2%E7%A9%BA%E6%89%8B%E9%81%93%E6%AD%A3%E5%A6%B9-%E8%87%89%E8%85%AB%E6%88%902%E5%80%8D%E5%A4%A7-%E5%A5%B9%E8%A6%AA%E6%9B%9D%E5%8E%9F%E5%9B%A0-%E7%B2%89%E7%B5%B2%E7%AC%91%E7%BF%BB-%E6%80%8E%E8%AE%8A%E6%B4%AA%E9%87%91%E5%AF%B6-024800153.html,三立新聞網 setn.com,28 分鐘前
中職／林立爆醜聞 與女方關係曝光！經紀公司發聲揭真相,中職／林立爆醜聞 與女方關係曝光！經紀公司發聲揭真相,https://s.yimg.com/uu/api/res/1.2/hZ5JpVewgPuB0P.1.UjhqQ--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/ko/ebc.net.tw/e99b724cb5c87c1e5e563d4286c237f1,https://tw.news.yahoo.com//%E4%B8%AD%E8%81%B7-%E6%9E%97%E7%AB%8B%E7%88%86%E9%86%9C%E8%81%9E-%E8%88%87%E5%A5%B3%E6%96%B9%E9%97%9C%E4%BF%82%E6%9B%9D%E5%85%89-%E7%B6%93%E7%B4%80%E5%85%AC%E5%8F%B8%E7%99%BC%E8%81%B2%E6%8F%AD%E7%9C%9F%E7%9B%B8-024800310.html,EBC東森新聞,28 分鐘前
Gino親吐「解約孫德榮」背後原因　被批「現在很難搞」走心,【緯來新聞網】Gino在中天綜合台《小明星大跟班》單元「拜託！髒東西離我遠一點！明星斷捨離自救大會」,https://media.zenfs.com/zh-tw/__647/e907b59e0b791a853516c19e158d5396,https://tw.news.yahoo.com//gino%E8%A6%AA%E5%90%90-%E8%A7%A3%E7%B4%84%E5%AD%AB%E5%BE%B7%E6%A6%AE-%E8%83%8C%E5%BE%8C%E5%8E%9F%E5%9B%A0-%E8%A2%AB%E6%89%B9-%E7%8F%BE%E5%9C%A8%E5%BE%88%E9%9B%A3%E6%90%9E-024800582.html,緯來新聞網,28 分鐘前
粉絲必敗！CASETiFY攜手SEVENTEEN　推第十二張迷你專輯聯名系列,"國際時尚配件品牌 CASETiFY與韓國人氣男子團體 SEVENTEEN 首次合作，以 SEVENTEEN 的第十二張迷你專輯《SPILL THE FEELS》及專輯中的主打歌曲「LOVE, MONEY, FAME」為創作靈感，將滿滿愛與能量注入兼具防護力及潮流風格的電子配件中，完美呈現 SEVENTEEN 13 位成員的獨有氛圍。喜愛 SEVENTEEN 的粉絲可於 CASETiFY 台灣官方",https://s.yimg.com/uu/api/res/1.2/HSgXXHOHIiqh5Y6gPuEeaA--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/vi/setn.com.tw/f947c802953438401b71a3875fa5bd12,https://tw.news.yahoo.com//%E7%B2%89%E7%B5%B2%E5%BF%85%E6%95%97-casetify%E6%94%9C%E6%89%8Bseventeen-%E6%8E%A8%E7%AC%AC%E5%8D%81%E4%BA%8C%E5%BC%B5%E8%BF%B7%E4%BD%A0%E5%B0%88%E8%BC%AF%E8%81%AF%E5%90%8D%E7%B3%BB%E5%88%97-024600455.html,三立新聞網 setn.com,30 分鐘前
小S破戒開喝韓國燒酒被抓包！ 她直率回「少囉嗦啦」,綜藝天后小S（徐熙娣）在去年底宣布戒酒，一度傳出是因為肝臟出狀況；但她事後跳出來否認，表示肝很正常，少喝酒是因為每天要起床做早餐給女兒吃，也想讓體態變得更好。不過小S昨（20日）被發現又開喝，引發網友關心問：「少喝點酒啦 講不聽餒」、「不是戒酒了嗎？」對此，小S也一一回應。,https://s.yimg.com/uu/api/res/1.2/84IUbnlBSos.hH1.ZclBEg--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/chinatimes.com.tw/6efbdf28d5c74046fa7ac186ef78b04c,https://tw.news.yahoo.com//%E5%B0%8Fs%E7%A0%B4%E6%88%92%E9%96%8B%E5%96%9D%E9%9F%93%E5%9C%8B%E7%87%92%E9%85%92%E8%A2%AB%E6%8A%93%E5%8C%85-%E5%A5%B9%E7%9B%B4%E7%8E%87%E5%9B%9E-%E5%B0%91%E5%9B%89%E5%97%A6%E5%95%A6-024402514.html,中時新聞網,32 分鐘前
嘉南6.4強震！小嫻揭屏東最新現狀　直呼：一直晃好暈,嘉義縣大埔鄉今天（21日）0時17分，發生芮氏規模6.4地震，南台灣有感，嘉義及台南地區首當其衝，最大震度6弱，對此住在屏東並念大學的藝人小嫻透露，屏東也相當有感。,https://s.yimg.com/uu/api/res/1.2/QO7wake1lfRaXclCS5o0PA--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/ko/setn.com.tw/eb5ef384380932950c15d3bcdb8d5195,https://tw.news.yahoo.com//%E5%98%89%E5%8D%976-4%E5%BC%B7%E9%9C%87-%E5%B0%8F%E5%AB%BB%E6%8F%AD%E5%B1%8F%E6%9D%B1%E6%9C%80%E6%96%B0%E7%8F%BE%E7%8B%80-%E7%9B%B4%E5%91%BC-%E7%9B%B4%E6%99%83%E5%A5%BD%E6%9A%88-024200477.html,三立新聞網 setn.com,34 分鐘前
鬆口認了「想切割家人」！薔薔帳號遭親妹私用約玩、直播打架女友,【緯來新聞網】藝人薔薔在中天綜合台《小明星大跟班》單元「拜託！髒東西離我遠一點！明星斷捨離自救大會」,https://s.yimg.com/uu/api/res/1.2/B8PKTxtEISGB3Ip11cC3tQ--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/zh-tw/__647/ee78c43a6926578e34597678cfc16d29,https://tw.news.yahoo.com//%E9%AC%86%E5%8F%A3%E8%AA%8D%E4%BA%86-%E6%83%B3%E5%88%87%E5%89%B2%E5%AE%B6%E4%BA%BA-%E8%96%94%E8%96%94%E5%B8%B3%E8%99%9F%E9%81%AD%E8%A6%AA%E5%A6%B9%E7%A7%81%E7%94%A8%E7%B4%84%E7%8E%A9-%E7%9B%B4%E6%92%AD%E6%89%93%E6%9E%B6%E5%A5%B3%E5%8F%8B-024200143.html,緯來新聞網,34 分鐘前
